City,Sex,Age,Occupation,Monthly Household Income,Income,Planning to Buy a new house,Time Frame,Reasons for buying a house,what type of House,Number of rooms,Size of House,Budget,Finished/Semi Finished,Influence Decision,Maintainance,EMI,1.Proximity to city,2.Proximity to schools,3. Proximity to transport,4. Proximity to work place,5. Proximity to shopping,1. Gym/Pool/Sports facility,2. Parking space,3.Power back-up,4.Water supply,5.Security,1. Exterior look ,2. Unit size,3. Interior design and branded components,4. Layout plan (Integrated etc.),5. View from apartment,1. Price,2. Booking amount,3. Equated Monthly Instalment (EMI),4. Maintenance charges,5. Availability of loan,1. Builder reputation,2. Appreciation potential,3. Profile of neighbourhood,4. Availability of domestic help,Time,Size,Budgets,Maintainances,EMI,ages,sex,Finished/Semi Finished,Influence Decision
Bangalore,M,26-35,Private Sector,"85,001 to105,000",95000,Yes,6M to 1Yr,Residing,Apartment,2BHK,1001-1400,65.1 to 80L,Semifurnished,Site visits,2001to 4000,35.1K to 50K,3,5,5,2,1,2,5,3,5,3,2,4,4,4,4,5,1,4,3,3,4,5,4,1,9,1200,72.5,30000,42500,30.5,M,Semifurnished,Site visits
Bangalore,M,46-60,Government/PSU,"45,001 to 65,000",55000,Yes,6M to 1Yr,Investment,Apartment,2BHK,601-1000,25.1 to 40L,Semifurnished,Newspaper,<2000,20.1K to 35K,3,5,5,3,1,1,4,2,4,3,1,4,4,2,2,5,1,4,4,4,5,4,3,2,9,800,32.5,120,27500,53,M,Semifurnished,Newspaper
Bangalore,F,46-60,Government/PSU,"25,001 to 45,000",35000,Yes,<6 Months,Rental Income,Apartment,1BHK,<600,<25L,Semifurnished,Hoarding,<2000,<20K,1,2,5,2,1,4,3,2,4,5,1,4,3,2,2,4,2,5,4,2,4,4,4,4,3,400,12.5,10000,10000,53,F,Semifurnished,Hoarding
Bangalore,M,36-45,Private Sector,>125000,200000,Yes,<6 Months,Investment,Apartment,3BHK,1401-1800,95.1 to110L,Furnished,Electronic/Internet,6001 to 8000,>65K,4,5,3,5,4,5,5,4,5,5,4,4,5,5,5,5,2,4,2,2,5,4,5,5,3,1600,102.5,70000,80000,40.5,M,Furnished,Electronic/Internet
Bangalore,M,26-35,Self Employed,"85,001 to105,000",95000,Yes,1-2 Yr,Residing,Apartment,2BHK,601-1000,40.1 to 65L,Semifurnished,Electronic/Internet,2001to 4000,35.1K to 50K,4,2,3,4,3,2,4,3,4,4,4,3,4,4,4,4,2,3,4,4,4,3,4,3,18,800,52.5,30000,42500,30.5,M,Semifurnished,Electronic/Internet
Bangalore,F,36-45,Private Sector,"65,0001 to 85,000",75000,Yes,<6 Months,Investment,Apartment,2BHK,601-1000,40.1 to 65L,Customized,Site visits,2001to 4000,35.1K to 50K,3,2,4,4,2,3,4,4,4,3,3,2,4,3,3,5,2,4,3,3,5,4,4,3,3,800,52.5,30000,42500,40.5,F,Customized,Site visits
Bangalore,F,46-60,Private Sector,>125000,200000,Yes,6M to 1Yr,Residing,Apartment,3BHK,1401-1800,80.1 to 95L,Semifurnished,Electronic/Internet,4001 to 6000,>65K,3,3,4,4,3,4,5,5,5,4,4,3,5,5,4,5,2,5,4,4,5,5,4,3,9,1600,87.5,50000,80000,53,F,Semifurnished,Electronic/Internet
Bangalore,M,26-35,Private Sector,"25,001 to 45,000",35000,Yes,<6 Months,Residing,Apartment,1BHK,<600,<25L,Semifurnished,Site visits,<2000,<20K,2,2,4,3,1,1,2,3,4,1,1,3,3,4,1,5,3,4,4,3,4,3,3,2,3,300,12.5,10000,10000,30.5,M,Semifurnished,Site visits
Bangalore,M,36-45,Self Employed,"105,000 to 125000",115000,Yes,1-2 Yr,Investment,Apartment,2BHK,601-1000,40.1 to 65L,Semifurnished,Site visits,2001to 4000,35.1K to 50K,4,3,5,5,1,3,3,3,4,3,3,3,3,3,2,4,2,4,3,4,4,4,3,3,18,800,52.5,30000,42500,40.5,M,Semifurnished,Site visits
Bangalore,M,46-60,Government/PSU,"105,000 to 125000",115000,Yes,<6 Months,Rental Income,Apartment,4BHK,1401-1800,95.1 to110L,Customized,Hoarding,4001 to 6000,>65K,5,2,4,2,2,4,4,3,3,3,4,3,4,4,4,5,1,5,4,4,5,4,4,2,3,1600,102.5,50000,80000,53,M,Customized,Hoarding
Bangalore,F,26-35,Private Sector,"45,001 to 65,000",55000,Yes,6M to 1Yr,Investment,Apartment,2BHK,601-1000,25.1 to 40L,Semifurnished,Electronic/Internet,<2000,20.1K to 35K,3,2,4,3,3,3,4,3,4,4,4,4,3,3,3,4,4,5,4,4,3,4,3,2,9,800,32.5,10000,27500,30.5,F,Semifurnished,Electronic/Internet
Bangalore,F,36-45,Government/PSU,"65,0001 to 85,000",75000,Yes,<6 Months,Residing,Apartment,2BHK,601-1000,40.1 to 65L,Semifurnished,Newspaper,<2000,35.1K to 50K,5,3,4,5,2,3,3,3,3,4,3,4,4,3,1,4,2,3,3,4,3,4,3,2,3,800,52.5,10000,42500,40.5,F,Semifurnished,Newspaper
Bangalore,F,26-35,Self Employed,"25,001 to 45,000",35000,Yes,<6 Months,Investment,Apartment,1BHK,<600,<25L,Semifurnished,Site visits,<2000,20.1K to 35K,4,3,4,4,3,4,4,4,4,5,1,2,3,3,1,5,3,5,5,5,2,4,4,2,3,300,12.5,10000,27500,30.5,F,Semifurnished,Site visits
Bangalore,F,46-60,Private Sector,"85,001 to105,000",95000,Yes,6M to 1Yr,Residing,Apartment,3BHK,1001-1400,65.1 to 80L,Semifurnished,Electronic/Internet,4001 to 6000,>65K,4,4,3,4,3,1,4,3,4,4,2,3,3,4,2,4,3,4,5,5,4,5,4,4,9,1200,72.5,50000,80000,53,F,Semifurnished,Electronic/Internet
Bangalore,M,26-35,Private Sector,"45,001 to 65,000",55000,Yes,6M to 1Yr,Residing,Apartment,2BHK,601-1000,25.1 to 40L,Semifurnished,Electronic/Internet,<2000,20.1K to 35K,3,2,4,4,2,2,3,3,4,4,3,3,3,4,2,5,3,5,4,4,5,5,4,2,9,800,32.5,10000,27500,30.5,M,Semifurnished,Electronic/Internet
Chennai,M,18-25,Private Sector,"25,001 to 45,000",35000,Yes,1-2 Yr,Residing,Apartment,1BHK,<600,<25L,Semifurnished,Site visits,<2000,<20K,3,2,4,4,1,4,3,4,3,2,1,1,1,1,1,4,4,5,4,4,3,4,3,1,18,300,12.5,10000,10000,21.5,M,Semifurnished,Site visits
Chennai,M,26-35,Self Employed,"45,001 to 65,000",55000,Yes,<6 Months,Rental Income,Apartment,2BHK,601-1000,25.1 to 40L,Furnished,Site visits,2001to 4000,20.1K to 35K,4,2,4,5,2,2,3,3,3,2,1,4,3,4,2,4,3,4,4,4,4,4,3,2,3,800,32.5,30000,27500,30.5,M,Furnished,Site visits
Chennai,M,36-45,Government/PSU,"45,001 to 65,000",55000,Yes,<6 Months,Investment,Apartment,2BHK,601-1000,40.1 to 65L,Customized,Word of Mouth,2001to 4000,35.1K to 50K,4,5,4,5,2,4,3,3,4,3,1,4,3,4,2,5,3,4,4,4,5,4,4,2,3,800,52.5,30000,42500,40.5,M,Customized,Word of Mouth
Chennai,M,46-60,Private Sector,"105,000 to 125000",115000,Yes,6M to 1Yr,Investment,Apartment,3BHK,1401-1800,95.1 to110L,Customized,Electronic/Internet,6001 to 8000,>65K,5,4,5,4,2,4,3,4,4,4,2,3,5,5,4,5,2,5,4,3,5,5,5,3,9,1600,102.5,70000,80000,53,M,Customized,Electronic/Internet
Chennai,M,46-60,Government/PSU,"65,0001 to 85,000",75000,Yes,<6 Months,Residing,Apartment,2BHK,1001-1400,40.1 to 65L,Furnished,Word of Mouth,2001to 4000,50.1K to 65K,3,3,5,4,2,4,4,4,4,5,2,3,4,4,5,5,1,2,5,2,5,4,5,3,3,1200,52.5,30000,57500,53,M,Furnished,Word of Mouth
